Country,Year,Value
Belgium,2000,29910.0
Bulgaria,2000,2990.0
Czechia,2000,11440.0
Denmark,2000,42220.0
Germany,2000,29410.0
Estonia,2000,7540.0
Ireland,2000,33300.0
Greece,2000,16800.0
Spain,2000,21640.0
France,2000,28770.0
Croatia,2000,7950.0
Italy,2000,27620.0
Cyprus,2000,20130.0
Latvia,2000,5050.0
Lithuania,2000,5240.0
Luxembourg,2000,72530.0
Hungary,2000,7920.0
Malta,2000,13840.0
Netherlands,2000,35240.0
Austria,2000,31510.0
Poland,2000,6500.0
Portugal,2000,16250.0
Romania,2000,3780.0
Slovenia,2000,13890.0
Slovakia,2000,7840.0
Finland,2000,30500.0
Sweden,2000,34240.0
Iceland,2000,28570.0
Norway,2000,62040.0
Switzerland,2000,51950.0
United Kingdom,2000,27130.0
North Macedonia,2000,2620.0
Albania,2000,1700.0
Serbia,2000,2800.0
Türkiye,2000,6130.0
Belgium,2001,30130.0
Bulgaria,2001,3210.0
Czechia,2001,11830.0
Denmark,2001,42480.0
Germany,2001,29870.0
Estonia,2001,8030.0
Ireland,2001,34520.0
Greece,2001,17490.0
Spain,2001,22380.0
France,2001,29110.0
Croatia,2001,8510.0
Italy,2001,28160.0
Cyprus,2001,20700.0
Latvia,2001,5450.0
Lithuania,2001,5620.0
Luxembourg,2001,73930.0
Hungary,2001,8260.0
Malta,2001,13490.0
Netherlands,2001,35790.0
Austria,2001,31800.0
Poland,2001,6580.0
Portugal,2001,16450.0
Romania,2001,3980.0
Slovenia,2001,14270.0
Slovakia,2001,8100.0
Finland,2001,31240.0
Sweden,2001,34600.0
Iceland,2001,29320.0
Norway,2001,63000.0
Switzerland,2001,52510.0
United Kingdom,2001,27770.0
North Macedonia,2001,2530.0
Albania,2001,1850.0
Serbia,2001,3000.0
Türkiye,2001,5700.0
Belgium,2002,30510.0
Bulgaria,2002,3420.0
Czechia,2002,12040.0
Denmark,2002,42520.0
Germany,2002,29780.0
Estonia,2002,8640.0
Ireland,2002,35930.0
Greece,2002,18240.0
Spain,2002,22630.0
France,2002,29210.0
Croatia,2002,9000.0
Italy,2002,28180.0
Cyprus,2002,21230.0
Latvia,2002,5940.0
Lithuania,2002,6050.0
Luxembourg,2002,75500.0
Hungary,2002,8680.0
Malta,2002,13760.0
Netherlands,2002,35650.0
Austria,2002,32120.0
Poland,2002,6710.0
Portugal,2002,16490.0
Romania,2002,4350.0
Slovenia,2002,14720.0
Slovakia,2002,8460.0
Finland,2002,31690.0
Sweden,2002,35270.0
Iceland,2002,29230.0
Norway,2002,63530.0
Switzerland,2002,52100.0
United Kingdom,2002,28250.0
North Macedonia,2002,2580.0
Albania,2002,1940.0
Serbia,2002,3200.0
Türkiye,2002,5990.0
Belgium,2003,30700.0
Bulgaria,2003,3620.0
Czechia,2003,12430.0
Denmark,2003,42600.0
Germany,2003,29630.0
Estonia,2003,9350.0
Ireland,2003,36400.0
Greece,2003,19250.0
Spain,2003,22870.0
France,2003,29290.0
Croatia,2003,9500.0
Italy,2003,28050.0
Cyprus,2003,21520.0
Latvia,2003,6500.0
Lithuania,2003,6740.0
Luxembourg,2003,76510.0
Hungary,2003,9040.0
Malta,2003,14180.0
Netherlands,2003,35510.0
Austria,2003,32340.0
Poland,2003,6950.0
Portugal,2003,16280.0
Romania,2003,4480.0
Slovenia,2003,15180.0
Slovakia,2003,8870.0
Finland,2003,32250.0
Sweden,2003,35810.0
Iceland,2003,29650.0
Norway,2003,63750.0
Switzerland,2003,51700.0
